Name,X062918.Healthy.ppLN.cDC1,X062918.PanIN.ppLN.cDC1,X062918.Tumor.ppLN.cDC1,X070618.Tumor.ppLN.cDC1,X071618.Tumor.ppLN.cDC1,X071718.PanIN.ppLN.cDC1,X072618.PanIN.ppLN.cDC1,X073018.Healthy.ppLN.cDC1,X080618.Healthy.ppLN.cDC1
ENSMUST00000177948,0,0,0,0.115631,0,0,0,0,0
ENSMUST00000021820,0,0.053248,0.094711,0,0.011017,0.04895,0.111979,0,0.008438
ENSMUST00000221751,0.091207,0.064771,0.07949,0.134545,0,0,0.074678,0.285189,0.141727
ENSMUST00000221170,0.177984,0.212624,0.208837,0.249187,0.166079,0.027237,0.137367,0,0.105245
ENSMUST00000065494,0,0,0,0,0,0,0,0.106131,0
ENSMUST00000021822,0.25265,0.131068,0.113148,0.156452,0.252361,0.160197,0.062359,0.118741,0.582779
ENSMUST00000222197,0.469156,0,0,0,0.651118,0.841647,1.105117,1.225006,1.02126
ENSMUST00000221083,0.811375,0,0,0,0,0,0.373826,0.560994,0
ENSMUST00000223467,0,0.399048,0.302606,0,0,0.406879,0,0,0
ENSMUST00000223264,1.176641,0,0,0,0,0,0,0,0
ENSMUST00000221142,0.767711,1.200652,0.938196,0.739261,0.329639,0,1.650377,1.982872,0
ENSMUST00000222333,0,0,0,0,0,0,0,0,0
ENSMUST00000021824,1.758339,1.723332,0.511556,1.837224,2.161808,3.673096,2.469275,1.575706,0.644522
ENSMUST00000223346,0.260183,0.270662,0.159932,0.149366,0.235962,0.534598,0.537762,0.065056,0.302207
ENSMUST00000221328,0.328291,0.566821,0.815526,0.731877,0.886922,0.695996,0.890322,0,0.814912
ENSMUST00000165316,0,0,0,0,0,0,0,0,0
ENSMUST00000047363,9.009559,9.867471,6.503326,9.823319,10.212796,13.29911,16.343751,16.301646,8.341432
ENSMUST00000172254,0,0,1.002175,0.257441,0,2.490986,1.327113,1.651279,0.525693
ENSMUST00000157338,6.221835,18.785954,4.762954,0,6.481186,6.745154,18.023227,0,47.108465
ENSMUST00000164260,0,0,0,0,0,0,0,0,0
ENSMUST00000171510,0,4.226808,0,0,0,0,0,4.455007,0
ENSMUST00000165063,0.540423,0.217731,0,0.233957,0,0,0,0,0
ENSMUST00000164275,0.358263,0,0.343049,0.749822,0.832119,1.517965,0.66643,0.784631,1.524805
ENSMUST00000104172,0,0,0,0,12.962371,0,0,22.380416,1.239696
ENSMUST00000165270,0.503678,0,0.736238,0,0.88913,0.535876,0,0.760605,0
ENSMUST00000165656,5.198804,14.151569,5.205632,2.258791,11.24824,18.498729,9.359034,25.677509,10.046882
ENSMUST00000223010,0,0,0,0,0,0,0.055928,0,0
ENSMUST00000220773,0,0,0,0,0,0,0,0,0
ENSMUST00000223523,0,0,0,0,0,0,0,0,0
ENSMUST00000223497,0,0,0,0,0,0,0,0,0
ENSMUST00000220663,0,0,0,0,0,0,0,0,0
ENSMUST00000182661,0,0.024581,0.77442,0.163416,0.254542,0.429976,0.218145,0.206684,0.323464
ENSMUST00000222073,0,0,0,0,0,0,0,0,0
ENSMUST00000221200,0,0,0,0,0,0,0,0,0
ENSMUST00000221777,0,0,0,0,0,0,0,0,0
ENSMUST00000222307,0,0,0,0,0,0,0,0,0
ENSMUST00000179367,0,0,0,0,0,0,0,0,0
ENSMUST00000178715,0,0,0,0,0,0,0,0,0
ENSMUST00000222996,0,0,0,0,0,0,0,0,0
ENSMUST00000222242,0,0,0,0,0,0.018572,0,0,0.171805
ENSMUST00000167414,0,0,0,0,0,0,0,0,0
ENSMUST00000220613,0,0.105704,0,0,0.141894,0,0.097805,0,0
ENSMUST00000220592,0,0.040956,0,0,0.092466,0,0.018658,0,0.007637
ENSMUST00000220549,0,0,0,0,0,0,0,0,0
ENSMUST00000223408,0,0,0,0,0,0,0,0,0
ENSMUST00000222187,0,0,0,0,0,0,0,0,0
ENSMUST00000177809,0,0,0,0,0,0,0,0,0
ENSMUST00000223015,11.423969,10.137043,4.317647,0.650508,5.256426,12.418474,11.559915,3.164949,16.533353
ENSMUST00000222134,0,0,0,0,0,0,0,0,0
ENSMUST00000222880,0,0,0,0,0,0,0,0,0
ENSMUST00000223516,0,0,0,0,0,0,0,0,0
ENSMUST00000221451,0,0,0,0,0,0,0,0,0
ENSMUST00000099521,0,0,0,0,0,0,0.02635,0,0
ENSMUST00000222366,0,0,0,0,0,0,0,0,0
ENSMUST00000185962,0,0,0,0,0,0,0,0,0
ENSMUST00000046974,1.454211,2.310767,2.029518,0.687907,2.285055,2.442375,6.085955,1.927841,0.878073
ENSMUST00000176913,2.338163,1.764923,0.047984,1.350355,1.931761,4.155996,6.636119,3.556968,1.799536
ENSMUST00000176424,0,0,0,0,0,0,0,0,0
ENSMUST00000176479,0.320906,0.18581,0.475101,0,0.290073,0.897843,1.054541,0,0.096912
ENSMUST00000177245,0.716903,0.901796,0,0,0.178727,0,2.671394,0,0.355599
ENSMUST00000176976,6.58938,5.896191,3.488825,3.151724,9.594709,12.541783,19.250801,3.97309,3.34138
ENSMUST00000176508,1.54164,2.177169,2.551034,2.265857,5.270843,5.868231,12.379306,0.369578,0.639975
ENSMUST00000177541,0.74196,1.653969,1.205692,1.024051,1.533629,1.915563,3.781887,0.188555,0.281345
ENSMUST00000176470,0,0,1.631793,0,0,1.768237,0.666936,0,0.010714
ENSMUST00000177233,0,0,0,1.092875,0,0,3.030724,1.36732,0
ENSMUST00000176298,3.517798,23.75938,29.763943,21.231225,48.298253,25.089345,83.689795,13.783686,11.120493
ENSMUST00000176772,2.557849,8.543748,4.476139,0,7.217138,2.083996,5.913412,0,3.366913
ENSMUST00000176543,4.481484,4.519706,8.857502,8.838036,8.877789,9.245558,12.462534,4.680091,0
ENSMUST00000225905,0,0,0,0,0,0,0,0,0.049588
ENSMUST00000096633,0,0,0,0,0,0,0.018504,0,0
ENSMUST00000179371,0,0,0,0,0,0,0,0,0
ENSMUST00000221002,0,0,0,0,0,0,0,0.054901,0
ENSMUST00000099519,0,0,0,0,0,0,0,0,0
ENSMUST00000192039,0,0,0,0,0,0,0,0,0
ENSMUST00000191999,0,0,0,0,0,0,0,0,0
ENSMUST00000099518,0,0,0,0,0,0,0,0,0
ENSMUST00000221281,0,0,0,0,0,0,0,0,0
ENSMUST00000221381,0,0,0,0,0,0,0,0,0
ENSMUST00000223072,0,0,0,0,0,0,0,0,0
ENSMUST00000122660,0,0,0,0,0,0,0,0,0
ENSMUST00000095797,5.446262,6.640554,5.364967,4.463211,3.988737,6.866095,5.153756,5.82321,10.153203
ENSMUST00000223152,3.331175,2.735221,1.858567,3.039862,3.036326,4.111996,3.636281,3.293841,0
ENSMUST00000021828,0,0.060751,0,0.109603,0.144614,0,0,0,0
ENSMUST00000221339,0.058,0,0,0.068866,0,0.024749,0.064512,0,0
ENSMUST00000196168,190.113242,239.02745,268.305396,141.790086,111.396579,195.104197,185.829605,197.825579,0
ENSMUST00000091708,4.236228,3.081292,0.244577,0.758565,0,2.749155,1.048804,2.125101,6.723794
ENSMUST00000222129,0,0,0,0,0,0,0,0,0
ENSMUST00000221253,0,0.131554,0,0,0,0,0,0,0
ENSMUST00000222986,0,0,0,0,0,0,0.231932,0,0
ENSMUST00000222417,0,0,0,0.361908,0,0,0,0.066741,0
ENSMUST00000220470,0.324017,0.217226,0,0,0.054318,0,0,0,1.291555
ENSMUST00000087978,0.16516,0.1787,0.098032,0.059355,0.118368,0.180123,0.170175,0.028392,0.219649
ENSMUST00000021898,2.64721,2.166671,1.33577,0.665884,0.030661,1.070266,0.839198,0.651052,3.509416
ENSMUST00000223543,0,0,0,0,0.545971,0,0,0,0
ENSMUST00000221850,0.867025,0.62093,0.382294,0.25804,0.325632,0.238163,0.403242,0.371622,1.256005
ENSMUST00000075853,12.160018,20.326933,15.623696,26.396649,18.182553,12.909773,15.623532,22.166487,4.901178
ENSMUST00000082738,15.554587,46.964886,2.381477,31.531007,81.014821,0,12.015485,0,6.198482
ENSMUST00000040117,3.023631,3.942125,2.932081,3.30284,5.108823,6.027138,6.412234,3.707028,1.822104
ENSMUST00000110044,0.140391,0.201747,0.185539,0.236672,0.112852,0.204236,0.307456,0.012453,0.178544
ENSMUST00000127360,0,0,0,0,0,0,0.513161,0.594497,0.056163
ENSMUST00000154202,0,0,0,0,0,0,0,0,0
ENSMUST00000146011,0.776493,0.392214,0.569544,0.142248,0.278071,0.507375,0.438478,0.682792,0.033783
ENSMUST00000153877,2.991746,2.76476,2.873936,2.555855,7.832299,3.927758,5.331015,0,2.319371
ENSMUST00000110042,2.077852,1.298387,0.854177,1.285057,1.124382,1.461088,1.39475,0.923722,1.695854
ENSMUST00000110040,0,3.843004,6.147449,1.431077,4.790251,9.614677,3.937058,1.918316,2.958125
ENSMUST00000021900,3.253352,1.85152,0,0,0.961712,0,1.338297,2.648912,0
ENSMUST00000110039,10.944906,9.998144,4.322154,14.256299,9.362162,17.630631,24.072324,19.916313,9.457295
ENSMUST00000125511,0.377214,0,0.027367,0.024878,0,0.098174,0.945255,0.517433,0.072586
ENSMUST00000138228,0.871458,0,0,0.488623,0,0,0,0,0
ENSMUST00000139865,0,0,0.030647,0,0,0,0,0.041719,0.265244
ENSMUST00000150662,1.455599,0,0,0,0,0,7.829357,8.604482,0
